Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vietnam,,,,,,,,,Recharge,,,10GB / 10 Days,,,,,TELNA-TOPUP-VIETNAM-10GB-10D,0.0,,9999,continue,manual,22.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,10GB / 15 Days,,,,,TELNA-NEW-VIETNAM-10GB-15D,0.0,,9999,continue,manual,23.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,10GB / 15 Days,,,,,TELNA-TOPUP-VIETNAM-10GB-15D,0.0,,9999,continue,manual,23.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,10GB / 30 Days,,,,,TELNA-NEW-VIETNAM-10GB-30D,0.0,,9999,continue,manual,25.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,10GB / 30 Days,,,,,TELNA-TOPUP-VIETNAM-10GB-30D,0.0,,9999,continue,manual,25.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,20GB / 5 Days,,,,,TELNA-NEW-VIETNAM-20GB-5D,0.0,,9999,continue,manual,40.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,20GB / 5 Days,,,,,TELNA-TOPUP-VIETNAM-20GB-5D,0.0,,9999,continue,manual,40.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,20GB / 10 Days,,,,,TELNA-NEW-VIETNAM-20GB-10D,0.0,,9999,continue,manual,41.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,20GB / 10 Days,,,,,TELNA-TOPUP-VIETNAM-20GB-10D,0.0,,9999,continue,manual,41.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,20GB / 15 Days,,,,,TELNA-NEW-VIETNAM-20GB-15D,0.0,,9999,continue,manual,42.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,20GB / 15 Days,,,,,TELNA-TOPUP-VIETNAM-20GB-15D,0.0,,9999,continue,manual,42.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,20GB / 30 Days,,,,,TELNA-NEW-VIETNAM-20GB-30D,0.0,,9999,continue,manual,46.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,20GB / 30 Days,,,,,TELNA-TOPUP-VIETNAM-20GB-30D,0.0,,9999,continue,manual,46.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,Unlimited / 5 Days,,,,,TELNA-NEW-VIETNAM-UNLIMITED-5D,0.0,,9999,continue,manual,17.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,Unlimited / 5 Days,,,,,TELNA-TOPUP-VIETNAM-UNLIMITED-5D,0.0,,9999,continue,manual,17.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,Unlimited / 10 Days,,,,,TELNA-NEW-VIETNAM-UNLIMITED-10D,0.0,,9999,continue,manual,24.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,Unlimited / 10 Days,,,,,TELNA-TOPUP-VIETNAM-UNLIMITED-10D,0.0,,9999,continue,manual,24.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,Unlimited / 15 Days,,,,,TELNA-NEW-VIETNAM-UNLIMITED-15D,0.0,,9999,continue,manual,44.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,Unlimited / 15 Days,,,,,TELNA-TOPUP-VIETNAM-UNLIMITED-15D,0.0,,9999,continue,manual,44.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,Unlimited / 30 Days,,,,,TELNA-NEW-VIETNAM-UNLIMITED-30D,0.0,,9999,continue,manual,59.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,Unlimited / 30 Days,,,,,TELNA-TOPUP-VIETNAM-UNLIMITED-30D,0.0,,9999,continue,manual,59.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,Venezuela,"<p>Travel eSIM data plan for Venezuela.</p>
<p>If you already have a Telna eSIM from us, this purchase will be added as a top-up to your existing eSIM. If this is your first purchase, we will email your QR code after payment.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Venezuela",false,Type de forfait,Nouvelle eSIM,,Forfait,1GB / 5 Days,,,,,TELNA-NEW-VENEZUELA-1GB-5D,0.0,,9999,continue,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,active
venezuela,,,,,,,false,,Recharge,,,1GB / 5 Days,,,,,TELNA-TOPUP-VENEZUELA-1GB-5D,0.0,,9999,continue,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,1GB / 10 Days,,,,,TELNA-NEW-VENEZUELA-1GB-10D,0.0,,9999,continue,manual,5.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Recharge,,,1GB / 10 Days,,,,,TELNA-TOPUP-VENEZUELA-1GB-10D,0.0,,9999,continue,manual,5.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,1GB / 15 Days,,,,,TELNA-NEW-VENEZUELA-1GB-15D,0.0,,9999,continue,manual,6.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Recharge,,,1GB / 15 Days,,,,,TELNA-TOPUP-VENEZUELA-1GB-15D,0.0,,9999,continue,manual,6.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,1GB / 30 Days,,,,,TELNA-NEW-VENEZUELA-1GB-30D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Recharge,,,1GB / 30 Days,,,,,TELNA-TOPUP-VENEZUELA-1GB-30D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,3GB / 5 Days,,,,,TELNA-NEW-VENEZUELA-3GB-5D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Recharge,,,3GB / 5 Days,,,,,TELNA-TOPUP-VENEZUELA-3GB-5D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,3GB / 10 Days,,,,,TELNA-NEW-VENEZUELA-3GB-10D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Recharge,,,3GB / 10 Days,,,,,TELNA-TOPUP-VENEZUELA-3GB-10D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,3GB / 15 Days,,,,,TELNA-NEW-VENEZUELA-3GB-15D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Recharge,,,3GB / 15 Days,,,,,TELNA-TOPUP-VENEZUELA-3GB-15D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
venezuela,,,,,,,,,Nouvelle eSIM,,,3GB / 30 Days,,,,,TELNA-NEW-VENEZUELA-3GB-30D,0.0,,9999,continue,manual,12.99,,false,false,,,,,,,,,false,,,,kg,,,
