Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
venezuela,,,,,,,,,Unlimited / 15 Days,,,,,,,,TELNA-VENEZUELA-UNLIMITED-15D,0.0,,0,deny,manual,59.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,Unlimited / 30 Days,,,,,,,,TELNA-VENEZUELA-UNLIMITED-30D,0.0,,0,deny,manual,89.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,Vanuatu,"<p>Travel eSIM data plan for Vanuatu.</p>
<p>Si vous possédez déjà une eSIM de chez nous, cet achat sera ajouté à votre eSIM existante sous forme de recharge. S’il s’agit de votre premier achat, nous vous enverrons votre code QR par courriel après la confirmation de votre paiement.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Vanuatu",false,Plan,1GB / 5 Days,,,,,,,,TELNA-VANUATU-1GB-5D,0.0,,0,deny,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,active
vanuatu,,,,,,,,,1GB / 10 Days,,,,,,,,TELNA-VANUATU-1GB-10D,0.0,,0,deny,manual,10.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,1GB / 15 Days,,,,,,,,TELNA-VANUATU-1GB-15D,0.0,,0,deny,manual,11.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,1GB / 30 Days,,,,,,,,TELNA-VANUATU-1GB-30D,0.0,,0,deny,manual,13.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,3GB / 5 Days,,,,,,,,TELNA-VANUATU-3GB-5D,0.0,,0,deny,manual,28.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,3GB / 10 Days,,,,,,,,TELNA-VANUATU-3GB-10D,0.0,,0,deny,manual,29.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,3GB / 15 Days,,,,,,,,TELNA-VANUATU-3GB-15D,0.0,,0,deny,manual,29.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,3GB / 30 Days,,,,,,,,TELNA-VANUATU-3GB-30D,0.0,,0,deny,manual,32.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,5GB / 5 Days,,,,,,,,TELNA-VANUATU-5GB-5D,0.0,,0,deny,manual,48.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,5GB / 10 Days,,,,,,,,TELNA-VANUATU-5GB-10D,0.0,,0,deny,manual,49.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,5GB / 15 Days,,,,,,,,TELNA-VANUATU-5GB-15D,0.0,,0,deny,manual,49.99,,false,false,,,,,,,,,,,,,kg,,,
vanuatu,,,,,,,,,5GB / 30 Days,,,,,,,,TELNA-VANUATU-5GB-30D,0.0,,0,deny,manual,54.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,Uzbekistan,"<p>Travel eSIM data plan for Uzbekistan.</p>
<p>Si vous possédez déjà une eSIM de chez nous, cet achat sera ajouté à votre eSIM existante sous forme de recharge. S’il s’agit de votre premier achat, nous vous enverrons votre code QR par courriel après la confirmation de votre paiement.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Uzbekistan",false,Plan,1GB / 5 Days,,,,,,,,TELNA-UZBEKISTAN-1GB-5D,0.0,,0,deny,manual,3.99,,false,false,,,,,,,,,false,,,,kg,,,active
uzbekistan,,,,,,,,,1GB / 10 Days,,,,,,,,TELNA-UZBEKISTAN-1GB-10D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,1GB / 15 Days,,,,,,,,TELNA-UZBEKISTAN-1GB-15D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,1GB / 30 Days,,,,,,,,TELNA-UZBEKISTAN-1GB-30D,0.0,,0,deny,manual,7.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,3GB / 5 Days,,,,,,,,TELNA-UZBEKISTAN-3GB-5D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,3GB / 10 Days,,,,,,,,TELNA-UZBEKISTAN-3GB-10D,0.0,,0,deny,manual,5.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,3GB / 15 Days,,,,,,,,TELNA-UZBEKISTAN-3GB-15D,0.0,,0,deny,manual,6.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,3GB / 30 Days,,,,,,,,TELNA-UZBEKISTAN-3GB-30D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,5GB / 5 Days,,,,,,,,TELNA-UZBEKISTAN-5GB-5D,0.0,,0,deny,manual,7.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,5GB / 10 Days,,,,,,,,TELNA-UZBEKISTAN-5GB-10D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,5GB / 15 Days,,,,,,,,TELNA-UZBEKISTAN-5GB-15D,0.0,,0,deny,manual,9.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,5GB / 30 Days,,,,,,,,TELNA-UZBEKISTAN-5GB-30D,0.0,,0,deny,manual,11.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,10GB / 5 Days,,,,,,,,TELNA-UZBEKISTAN-10GB-5D,0.0,,0,deny,manual,14.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,10GB / 10 Days,,,,,,,,TELNA-UZBEKISTAN-10GB-10D,0.0,,0,deny,manual,15.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,10GB / 15 Days,,,,,,,,TELNA-UZBEKISTAN-10GB-15D,0.0,,0,deny,manual,16.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,10GB / 30 Days,,,,,,,,TELNA-UZBEKISTAN-10GB-30D,0.0,,0,deny,manual,18.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,20GB / 5 Days,,,,,,,,TELNA-UZBEKISTAN-20GB-5D,0.0,,0,deny,manual,24.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,20GB / 10 Days,,,,,,,,TELNA-UZBEKISTAN-20GB-10D,0.0,,0,deny,manual,25.99,,false,false,,,,,,,,,,,,,kg,,,
