Region,ID,Name,WSP info,RRP info,Data (GB),Validity (Days),Wi-Fi Hotspot,Traffic Policy
  Algeria,EBZMSD4TYEAY,Algeria 20GB - 10 Days,14.02  $,21.99  $,20,10,Yes,Limit - Maximum Data 20GB
  Algeria,AJD6AJPWCKIW,Algeria 20GB - 15 Days,14.79  $,22.99  $,20,15,Yes,Limit - Maximum Data 20GB
  Algeria,MVTFYJPYOBLG,Algeria 20GB - 30 Days,15.42  $,24.99  $,20,30,Yes,Limit - Maximum Data 20GB
  Algeria,TVJISPYBZ24V,Algeria 20GB - 5 Days,12.62  $,20.99  $,20,5,Yes,Limit - Maximum Data 20GB
  Algeria,9UJCYRMXGZEX,Algeria 3GB - 10 Days,3.93  $,7.99  $,3,10,Yes,Limit - Maximum Data 3GB
  Algeria,Y3EXTHZVRLDA,Algeria 3GB - 15 Days,4.15  $,8.99  $,3,15,Yes,Limit - Maximum Data 3GB
  Algeria,TRJBQDJPXK2G,Algeria 3GB - 30 Days,4.32  $,9.99  $,3,30,Yes,Limit - Maximum Data 3GB
  Algeria,4NIYNOBKSPZT,Algeria 3GB - 5 Days,3.54  $,7.99  $,3,5,Yes,Limit - Maximum Data 3GB
  Algeria,KXF8HXN9R30A,Algeria 5GB - 10 Days,5.63  $,6.99  $,5,10,Yes,Limit - Maximum Data 5GB
  Algeria,HO9WKDNDGE51,Algeria 5GB - 15 Days,5.94  $,7.99  $,5,15,Yes,Limit - Maximum Data 5GB
  Algeria,ICKQXCMHWZHI,Algeria 5GB - 30 Days,6.19  $,9.99  $,5,30,Yes,Limit - Maximum Data 5GB
  Algeria,RPFWEYUNQSTL,Algeria 5GB - 5 Days,5.07  $,5.99  $,5,5,Yes,Limit - Maximum Data 5GB
  Algeria,ZHWMPOVFXCWC,Algeria Unlimited LITE - 10 Days,19.29  $,24.99  $,Unlimited,10,Yes,"Daily - 2GB per Day, then 1Mbps"
  Algeria,LAHJJOIKMSIX,Algeria Unlimited LITE - 15 Days,31.64  $,32.99  $,Unlimited,15,Yes,"Daily - 2GB per Day, then 1Mbps"
  Algeria,QXRQGRTSTAPV,Algeria Unlimited LITE - 30 Days,44.09  $,48.99  $,Unlimited,30,Yes,"Daily - 2GB per Day, then 1Mbps"
  Algeria,FIZDG0VGYITC,Algeria Unlimited LITE - 5 Days,10.28  $,16.99  $,Unlimited,5,Yes,"Daily - 2GB per Day, then 1Mbps"
  Algeria,7CZD6T7CGYV9,Algeria Unlimited MAX - 10 Days,27.08  $,39.99  $,Unlimited,10,Yes,"Daily - 5GB per Day, then 1Mbps"
  Algeria,IGY6ZT0SNACP,Algeria Unlimited MAX - 15 Days,42.97  $,59.99  $,Unlimited,15,Yes,"Daily - 5GB per Day, then 1Mbps"
  Algeria,52BJQVZD8MSU,Algeria Unlimited MAX - 30 Days,58.49  $,59.99  $,Unlimited,30,Yes,"Daily - 5GB per Day, then 1Mbps"
  Algeria,6MDCATGHWBW2,Algeria Unlimited MAX - 5 Days,13.83  $,24.99  $,Unlimited,5,Yes,"Daily - 5GB per Day, then 1Mbps"
  Algeria,M8WYLESGNM1I,Algeria Unlimited STANDARD - 10 Days,19.70  $,34.99  $,Unlimited,10,Yes,"Daily - 3GB per Day, then 1Mbps"
  Algeria,KCSMWVWHQLEJ,Algeria Unlimited STANDARD - 15 Days,31.91  $,49.99  $,Unlimited,15,Yes,"Daily - 3GB per Day, then 1Mbps"
  Algeria,IFSUYUF1SMTH,Algeria Unlimited STANDARD - 30 Days,44.09  $,59.99  $,Unlimited,30,Yes,"Daily - 3GB per Day, then 1Mbps"
  Algeria,FB6XFHZ3NIAX,Algeria Unlimited STANDARD - 5 Days,10.60  $,17.99  $,Unlimited,5,Yes,"Daily - 3GB per Day, then 1Mbps"
  Andorra,JKLL3WETNBGK,Andorra 10GB - 10 Days,19.63  $,41.99  $,10,10,Yes,Limit - Maximum Data 10GB
  Andorra,PVKZTECBQSQH,Andorra 10GB - 15 Days,20.71  $,42.99  $,10,15,Yes,Limit - Maximum Data 10GB
  Andorra,PLWFNG76KBEK,Andorra 10GB - 30 Days,21.59  $,46.99  $,10,30,Yes,Limit - Maximum Data 10GB
  Andorra,ER9AH5REACTD,Andorra 10GB - 5 Days,17.67  $,40.99  $,10,5,Yes,Limit - Maximum Data 10GB
  Andorra,OBTGLZFM28VE,Andorra 1GB - 10 Days,3.59  $,5.99  $,1,10,Yes,Limit - Maximum Data 1GB
